age,female,black,white,born_usa,single,salary,degree,major,slf_emp,discrimination,happy,life
45.0,1,0,0,no,no,,lt high school,,,0,pretty happy,exciting
70.0,1,0,1,yes,yes,,graduate,education,someone else,0,not too happy,routine
37.0,1,0,1,yes,no,27225.0,high school,,someone else,0,not too happy,routine
39.0,1,0,1,yes,yes,,bachelor,education,someone else,0,very happy,exciting
55.0,1,1,0,yes,yes,23595.0,high school,,someone else,0,very happy,exciting
58.0,0,0,1,yes,,49005.0,high school,,someone else,0,pretty happy,
64.0,1,0,1,yes,yes,8168.0,lt high school,,someone else,0,pretty happy,routine
32.0,0,0,1,yes,,11798.0,bachelor,philosophy,someone else,0,not too happy,
40.0,1,1,0,yes,,4719.0,high school,,self-employed,0,not too happy,
38.0,0,0,1,yes,yes,,high school,,someone else,1,not too happy,routine
63.0,1,0,1,yes,,,bachelor,education,someone else,0,pretty happy,
49.0,1,0,0,no,,,graduate,finance,someone else,0,pretty happy,exciting
74.0,1,0,1,yes,yes,,high school,,someone else,0,not too happy,dull
42.0,0,0,1,yes,yes,19965.0,high school,,someone else,0,pretty happy,routine
66.0,0,0,1,yes,,8168.0,lt high school,,someone else,0,pretty happy,
51.0,0,1,0,yes,no,,high school,,someone else,0,not too happy,exciting
54.0,1,0,1,yes,yes,3993.0,lt high school,,self-employed,0,pretty happy,exciting
55.0,0,1,0,yes,,,high school,,self-employed,1,pretty happy,
33.0,1,0,1,yes,no,11798.0,junior college,health,someone else,1,pretty happy,routine
48.0,1,0,1,yes,no,,high school,,someone else,0,pretty happy,routine
72.0,1,0,1,yes,no,,graduate,art,someone else,1,pretty happy,exciting
53.0,0,0,1,yes,,116160.0,graduate,business administration,someone else,1,pretty happy,
75.0,1,0,1,yes,no,,junior college,medicine,someone else,0,pretty happy,exciting
80.0,1,0,1,yes,no,,high school,,someone else,0,not too happy,routine
67.0,0,0,1,yes,yes,,high school,,someone else,0,very happy,exciting
69.0,0,0,1,no,,,junior college,business administration,someone else,1,pretty happy,
34.0,0,1,0,yes,,87120.0,bachelor,communications/speech,self-employed,1,pretty happy,
47.0,1,1,0,yes,no,4719.0,high school,,someone else,0,pretty happy,exciting
57.0,0,0,1,yes,no,59895.0,high school,,someone else,0,not too happy,dull
58.0,1,0,1,yes,no,189211.0,graduate,general sciences,someone else,1,very happy,exciting
